"Afghanistan","Saxony","Petit Verdot","75CL","Dry","White wine","Duck"
"Afghanistan","Gelderland","Avanà","75CL","Semi-sweet","Yellow","Fish"
"Anguilla","OK","Aleatico","1L","Dry","White wine","Vegetarian"
"Antarctica","Ist","Garanoir","75CL","Very sweet","Yellow","Fish"
"Antarctica","Andalucía","Agiorgitiko","75CL","Very sweet","Rosé","Pork"
"Argentina","Akwa Ibom","Aleatico","75CL","Bone dry","Gray","Fish"
"Armenia","Vienna","AglianiconeAlbaranzeuli nero","75CL","Very sweet","Rosé","Beef"
"Aruba","II","Garanoir","1L","Dry","Red wine","Cheese"
"Aruba","Nord-Pas-de-Calais","Petit Verdot","1L","Semi-sweet","Tawny","Vegetarian"
"Aruba","Stockholms län","Petit Verdot","1L","Dry","Rosé","Duck"
"Bahamas","Noord Brabant","Cinsaut","1L","Semi-sweet","Yellow","BBQs"
"Barbados","Andalucía","Manseng noir","1L","Very sweet","Yellow","Beef"
"Belize","PE","Helfensteiner","1L","Semi-sweet","Yellow","Duck"
"Bhutan","Mer","Helfensteiner","75CL","Dry","White wine","Cheese"
"Brazil","NA","Mujuretuli","75CL","Bone dry","Tawny","Fish"
"Brunei","HE","Aleatico","75CL","Sweet","White wine","BBQs"
"Cameroon","Uttar Pradesh","Agiorgitiko","75CL","Semi-sweet","Gray","Pork"
"Canada","Valparaíso","Mujuretuli","75CL","Very sweet","White wine","Duck"
"Cayman Islands","QLD","Helfensteiner","75CL","Very sweet","Tawny","Vegetarian"
"Chile","KC","Gaglioppo","75CL","Bone dry","Tawny","Vegetarian"
"Colombia","Noord Brabant","Manseng noir","1L","Very sweet","Gray","Duck"
"Comoros","Goa","Mujuretuli","75CL","Dry","Rosé","Beef"
"Cook Islands","MA","Manseng noir","75CL","Dry","Red wine","Beef"
"Costa Rica","West Bengal","Gaglioppo","75CL","Sweet","Rosé","Cheese"
"Croatia","Argyllshire","Aglianico","1L","Very sweet","White wine","Cheese"
"Croatia","Andhra Pradesh","Gaglioppo","75CL","Very sweet","White wine","Pork"
"Croatia","Vlaams-Brabant","Aragónez","1L","Semi-sweet","Red wine","Duck"
"Cyprus","South Island","Dureza","1L","Semi-sweet","Gray","Vegetarian"
"Dominica","Stockholms län","Petit Verdot","1L","Very sweet","Yellow","Beef"
"Eritrea","Zl","Manseng noir","75CL","Dry","White wine","BBQs"
"Eritrea","Zl","Garanoir","1L","Semi-sweet","Gray","Vegetarian"
"Eritrea","Nairnshire","Agiorgitiko","75CL","Semi-sweet","Yellow","Cheese"
"Falkland Islands","North Island","Gaglioppo","1L","Bone dry","Yellow","Cheese"
"Faroe Islands","Queensland","Helfensteiner","75CL","Sweet","Rosé","Pork"
"France","SJ","Gaglioppo","1L","Sweet","Rosé","Duck"
"French Guiana","Stockholms län","Aragónez","1L","Sweet","White wine","Fish"
"French Southern Territories","Victoria","Agiorgitiko","75CL","Semi-sweet","Yellow","Pork"
"French Southern Territories","L","Gaglioppo","75CL","Bone dry","Yellow","Vegetarian"
"Gabon","Z.","Agiorgitiko","75CL","Dry","Red wine","BBQs"
"Guadeloupe","Akwa Ibom","Garanoir","1L","Semi-sweet","Red wine","Duck"
"Guinea-Bissau","NI","Aglianico","1L","Dry","Yellow","BBQs"
"Guyana","L","Blauburger","1L","Very sweet","Rosé","Pork"
"Guyana","Manisa","Aleatico","1L","Sweet","Tawny","Vegetarian"
"Haiti","HH","Blauburger","1L","Dry","Tawny","Fish"
"Honduras","MP","Helfensteiner","75CL","Very sweet","White wine","Cheese"
"Indonesia","West-Vlaanderen","Lagrein","75CL","Semi-sweet","Gray","Cheese"
"Iran","NB","Aragónez","75CL","Semi-sweet","Rosé","BBQs"
"Ireland","Hat","Blauburger","75CL","Semi-sweet","Gray","Duck"
"Isle of Man","LD","Garanoir","75CL","Sweet","Red wine","Cheese"
"Isle of Man","KL","Avanà","1L","Dry","Rosé","Vegetarian"
"Israel","W","Agiorgitiko","1L","Semi-sweet","Gray","Cheese"
"Israel","Mississippi","Aglianico","75CL","Dry","Tawny","Pork"
"Italy","Guanacaste","Aleatico","75CL","Dry","White wine","BBQs"
"Jamaica","Minas Gerais","Manseng noir","75CL","Bone dry","Tawny","Fish"
"Japan","QLD","Cinsaut","1L","Dry","Red wine","BBQs"
"Jordan","NI","Avanà","75CL","Very sweet","White wine","Duck"
"Kazakhstan","DE","Dureza","75CL","Semi-sweet","Rosé","Vegetarian"
"Korea, North","Mersin","Cinsaut","1L","Bone dry","Rosé","Fish"
"Korea, South","Berlin","Mujuretuli","1L","Semi-sweet","White wine","Cheese"
"Liberia","Catalunya","Lagrein","1L","Very sweet","Yellow","Duck"
"Libya","AL","Manseng noir","1L","Dry","Red wine","Fish"
"Luxembourg","Antwerpen","Baga","1L","Very sweet","Red wine","Duck"
"Macedonia","SP","AglianiconeAlbaranzeuli nero","75CL","Dry","White wine","Vegetarian"
"Maldives","North Island","Lagrein","1L","Very sweet","Rosé","Vegetarian"
"Maldives","Western Australia","Petit Verdot","1L","Very sweet","Tawny","Beef"
"Mali","Comunitat Valenciana","Blauburger","75CL","Dry","Gray","Beef"
"Malta","Noord Brabant","Baga","75CL","Dry","Yellow","Duck"
"Marshall Islands","Madhya Pradesh","Avanà","1L","Bone dry","Yellow","Vegetarian"
"Mauritania","Paraíba","Mujuretuli","1L","Sweet","Rosé","Duck"
"Mozambique","Ankara","AglianiconeAlbaranzeuli nero","1L","Sweet","White wine","Vegetarian"
"Netherlands","U","Lagrein","1L","Very sweet","Gray","Cheese"
"Northern Mariana Islands","IA","Aglianico","75CL","Dry","Tawny","Duck"
"Oman","Z.","Manseng noir","1L","Bone dry","White wine","Duck"
"Palau","Cumberland","Mujuretuli","75CL","Bone dry","Red wine","Pork"
"Palestine, State of","Berlin","Agiorgitiko","1L","Very sweet","White wine","Pork"
"Paraguay","RM","Lagrein","75CL","Very sweet","Tawny","Duck"
"Poland","BR","Blauburger","1L","Very sweet","Tawny","Vegetarian"
"Portugal","Wie","Avanà","1L","Sweet","Gray","Beef"
"Puerto Rico","Leinster","Garanoir","1L","Very sweet","Gray","Fish"
"Saint Barthélemy","Gl","Baga","75CL","Very sweet","Tawny","Pork"
"Sao Tome and Principe","SP","Garanoir","1L","Very sweet","Tawny","BBQs"
"Saudi Arabia","łódzkie","Agiorgitiko","1L","Very sweet","Yellow","Vegetarian"
"Slovakia","VII","Aleatico","75CL","Dry","Yellow","Cheese"
"Solomon Islands","KN","Mujuretuli","1L","Semi-sweet","Red wine","BBQs"
"South Georgia and The South Sandwich Islands","Bremen","AglianiconeAlbaranzeuli nero","1L","Dry","White wine","Vegetarian"
"South Georgia and The South Sandwich Islands","Dolnośląskie","Agiorgitiko","1L","Semi-sweet","Red wine","Duck"
"Sudan","GL","Mujuretuli","1L","Semi-sweet","Gray","Duck"
"Sudan","CE","Mujuretuli","75CL","Dry","Rosé","BBQs"
"Swaziland","San José","Agiorgitiko","75CL","Dry","Red wine","Pork"
"Sweden","NI","Cinsaut","75CL","Semi-sweet","Gray","Vegetarian"
"Switzerland","VEN","Petit Verdot","1L","Bone dry","Rosé","Cheese"
"Ukraine","Kent","Avanà","1L","Semi-sweet","White wine","Cheese"
"Ukraine","NSW","Dureza","1L","Semi-sweet","Gray","Vegetarian"
"United States","KP","Aglianico","75CL","Bone dry","Yellow","Vegetarian"
"United States Minor Outlying Islands","North Island","Agiorgitiko","1L","Bone dry","Red wine","Fish"
"Vanuatu","Alsace","Mujuretuli","1L","Bone dry","White wine","Fish"
"Venezuela","Koc","Lagrein","1L","Semi-sweet","Red wine","Cheese"
"Virgin Islands, British","Nevada","Helfensteiner","75CL","Very sweet","Gray","Pork"
"Virgin Islands, United States","Gelderland","Cinsaut","75CL","Semi-sweet","Red wine","Beef"
"Yemen","RM","Manseng noir","1L","Dry","Red wine","Duck"